231TH    235U A DECAY (7.04E+8 Y)      2005GA36,2018MA03,1975VA1122NDS    202210
231THS G  NC=0.0080 16$OC=0.0019 5$PC=3.43E-4 97$QC=2.3E-5 19
231TH cG E$weighted average of 283.0 {I1} (1977Ba72), 282.92 {I5} (1975Va11),
231TH2cG 283.1 {I2} (1971KrZH). |g not seen in (n,|g) (1987Wh01)
231TH cG RI$arithmetic mean of 0.007 (1977Ba72), 0.011 (1975Va11),
231TH2cG 0.0056 (1971KrZH).
231TH  L 331        5(13/2-)
231TH  A 4266.2    25 0.230  30  150   20
231TH cA E$weighted average of 4266.2 keV {i25} (2005Ga36) and
231TH2cA 4266 keV {i5} (2004Da24). Others: 4267 {I10} (1966Ga03),
231TH3cA 4261 (1962Pi06)
231TH cA IA$unweighted average of 0.200% {i16} (2005Ga36) and
231TH2cA 0.26% {i2} (2004Da24). Others: <0.3 (1966Ga03), 0.4 (1964Sc27),
231TH3cA 0.6 (1962Pi06)
231TH  L 355       5   7/2+
231TH  A 4248      5  0.07   1   320   50
231TH cA E,IA$from 2004Da24. Not reported in 2005Ga36. Other: 4240 {I10}
231TH2cA with I|a<0.5 (1966Ga03)
231TH  L 377.562   10 (7/2)+
231TH  A 4219      6  0.123  6   117   6
231TH cA E$from 1975Va11.
231TH cA IA$|?0.9 from |a decay, |?0.11 from the decay scheme (1975Va11)
231TH  G 136.55    5  0.0447 27[M1+E2]                 5.3    24            E
231TH2 G %IG=0.0256 16$
231THS G  KC=3.2 30$LC=1.57 40$MC=0.41 13
231THS G  NC=0.110 35$OC=0.0250 73$PC=0.0044 10$QC=1.8E-4 15
231TH cG E$from 1977Ba72. Other: 136.6 (1975Va11, in coincidence data)
231TH cG RI$0.0447 {I27} (2017Le03). Other: 0.020 (1977Ba72).
231TH cG $Measured %I|g=0.0258 {i15} (2017Le03)
231TH  G 173.0     10 0.020  9 [E1]                    0.1323 19
231TH2 G %IG=0.011 5$
231THS G  KC=0.1041 15$LC=0.0213 3$MC=0.00515 8
231THS G  NC=0.001359 20$OC=0.000313 5$PC=5.70E-5 8$QC=3.86E-6 6
231TH cG E$from 1975Va11. Other: 173.4 {I1} (1974HeYW), where uncertainty
231TH2cG appears underestimated, as with 0.1 keV uncertainty, the fit is poor
231TH3cG as indicated by large |h{+2} in the least-squares fitting procedure.
231TH cG E$weighted average of 173.0 {I10} (1975Va11), 173.4 {I1} (1974HeYW)
231TH cG RI$weighted average of 0.011 {I9} (1975Va11), 0.03 {I1} (1974HeYW)
231TH  G 281.440   9  0.011    M1                      1.005  14
231TH2 G %IG=0.0063 $
231THS G  KC=0.804 12$LC=0.1515 22$MC=0.0364 5
231THS G  NC=0.00970 14$OC=0.00230 4$PC=0.000446 7$QC=4.23E-5 6
231TH cG E$weighted average of 281.42 {I5} (1975Va11), 281.441 {I9} (1987Wh01,
231TH2cG (n,|g), curved-crystal)
231TH cG RI$from 1975Va11
231TH  L 385.68     4 (5/2+:11/2+)                                             ?
231TH  A 4212         0.0131 2   943   16                                   b
231TH  G 289.56    4  0.0093 17 [D,E2]                 0.49   45            D
231TH2 G %IG=0.0053 10$
231TH cG E$from 1975Va11
231TH cG RI$0.0093 {I17} (2018Ma03). Other: 0.013 (1975Va11)
231TH cG $Measured %I|g=0.0053 {I10} (2018Ma03)
231TH  G 343.5     2  0.0125 11[D,E2]                  0.30   27            E
231TH2 G %IG=0.0072 6$
231TH cG E$from 1975Va11
231TH cG RI$0.0125 {I11} (2017Le03). Other: 0.13 (1975Va11)
231TH cG $Measured %I|g=0.0072 {I6} (2017Le03)
231TH  L 387.824    4  7/2-
231TH  A 4216.0    10 6.10   19  1.94  7
231TH cA E$unweighted average of 4216.2 keV {i19} (2005Ga36) and
231TH2cA 4215.8 keV {i5} (2004Da24). 1991Ry01 evaluation recommended
231TH3cA 4214.7 {I19}. Others: 4209 {I4} (1975Va11), 4210 {I3} (1966Ga03),
231TH3cA 4170 {I20} (1965Wh05), 4211 {I5} (1964Sc27), 4211 (1962Pi06),
231TH4cA 4215 {I5} (1961Ko11), 4211 {I3} (1960Vo07), 4214 {I4} (1960Ba44),
231TH5cA 4200 (1951Gh22)
231TH cA IA$unweighted average of 5.91% {i7} (2005Ga36) and
231TH2cA 6.28% {i11} (2004Da24). Others: 5.7 {I6} (1975Va11), 6.2 (1966Ga03),
231TH3cA 5.0 {I3} (1965Wh05), 6.0 (1964Sc27), 5.5 (1962Pi06), 4 (1961Ko11),
231TH4cA 7 (1960Vo07), 5.5 (1960Ba44), 4.2 (1951Gh22)
231TH  G 147.0                                                                 ?
231TH cG E$tentative |g from coincidence data (1975Va11)
231TH  G 150.937   20 0.128  16 [M1+E2]                3.9    19
231TH2 G %IG=0.073 9$
231THS G  KC=2.4 22$LC=1.07 19$MC=0.28 7
231THS G  NC=0.074 18$OC=0.017 4$PC=0.0030 5$QC=1.4E-4 11
231TH cG E$weighted average of 150.85 {I5} (1977Ba72), 150.94 {I3} (1975Va11),
231TH2cG 150.939 {I20} (1974Te03), 150.96 {I3} (1974HeYW).
231TH3cG Other: 150.95 (1983Ba77)
231TH cG RI$weighted average of 0.135 {I16} (2018Ma03), 0.084 {I23} (2017Le03),
231TH2cG 0.115 {I17} (1983Ba77), 0.141 {I19} (1975Va11), 0.14 {I2} (1974Te03),
231TH3cG 0.20 {I5} (1974HeYW). Other: 0.129 (1977Ba72)
231TH cG $Measured %I|g=0.076 {I9} (2018Ma03), 0.048 {I13} (2017Le03),
231TH2cG 0.066 {I10} (1983Ba77)
231TH  G 182.504   10 0.719  25[M1+E2]                 2.1    13
231TH2 G %IG=0.411 15$
231THS G  KC=1.4 13$LC=0.527 18$MC=0.136 13
231THS G  NC=0.036 4$OC=0.0083 6$PC=0.001503 22$QC=7.9E-5 64
231TH cG E$weighted average of 182.60 {I5} (1977Ba72), 182.7 {I2} (1975Va11),
231TH2cG 182.65 {I15} (1974Te03), 182.72 {I20} (1974HeYW), 182.500 {I8}
231TH3cG (1987Wh01, (n,|g), curved crystal). Other: 182.57 (1983Ba77)
231TH cG RI$unweighted average of 0.68 {I7} (2018Ma03), 0.750 {I25} (2017Le03),
231TH2cG 0.75 {I9} (1996Ru11), 0.592 {I30} (1983Ba77), 0.78 {I17} (1975Va11),
231TH3cG 0.74 {I25} (1974Te03), 0.74 {I7} (1974HeYW). Weighted average is
231TH4cG 0.69 {I3}, but reduced |h{+2}=2.95 is larger than critical |h{+2}=2.10.
231TH5cG Others: 1.41 {I18} in 1992Li05 is too high; 0.546 (1977Ba72);
231TH6cG I(|g+ce)(183)/I(|g+ce)(202)=0.28 {I4}, as stated in text of 1999Yu01,
231TH7cG which disagrees with 0.45 from several other measurements
231TH cG $Measured %I|g=0.39 {I4} (2018Ma03, power moderated mean (PMM) of
231TH2cG 0.367 {I15} and 0.47 {I13}), 0.432 {I14} (2017Le03), 0.43 {I5}
231TH3cG (1996Ru11), 0.80 {I10} (1992Li05), 0.339 {I17} (1983Ba77)
231TH  G 202.110   3  1.87   6 [M1+E2]                 1.58   95
231TH2 G %IG=1.07 4$
231THS G  KC=1.09 94$LC=0.367 17$MC=0.0938 22
231THS G  NC=0.0251 7$OC=0.00578 9$PC=0.00105 8$QC=5.9E-5 48
231TH cG E$weighted average of 202.106 {I6} (1984He12, 202.13 {I3} in 1974HeYW,
231TH2cG from the same lab); 202.05 {I5} (1977Ba72); 202.12 {I2} (1975Va11),
231TH3cG 202.105 {I12} (1974Te03); 202.111 {I3} (1987Wh01, (n,|g),
231TH4cG curved crystal). Other: 202.11 (1983Ba77)
231TH cG RI$unweighted average of 1.85 {I5} (2018Ma03), 2.062 {I42}
231TH2cG (2017Le03), 1.85 {I7} (1996Ru11), 2.04 {I12} (1992Li05), 1.885 {I35}
231TH3cG (1983Ba77), 1.87 {I19} (1975Va11), 1.88 {I20} (1974Te03), 1.54 {I10}
231TH4cG (1974HeYW). Regular weighted average is 1.91 {I5}, but reduced
231TH5cG |h{+2}=4.4 as compared to critical |h{+2}=2.0. Other: 2.19 (1977Ba72)
231TH cG $Measured %I|g=1.06 {I3} (2018Ma03, power moderated mean (PMM) of
231TH2cG 1.07 {I4}, 1.06 {I12}, 1.08 {I11} and 1.051 {I24}), 1.187 {I24}
231TH3cG (2017Le03), 1.06 {I4} (1996Ru11), 1.16 {I7} (1992Li05), 1.08 {I2}
231TH4cG (1983Ba77)
231TH  G 291.65    3  0.064  8 [E1]                    0.0396 6
231TH2 G %IG=0.037 5$
231THS G  KC=0.0317 5$LC=0.00598 9$MC=0.001433 20
231THS G  NC=0.000379 6$OC=8.81E-5 13$PC=1.642E-5 23$QC=1.254E-6 18
231TH cG E$weighted average of 291.65 {I5} (1977Ba72), 291.65 {I3} (1975Va11),
231TH2cG 291.58 {I15} (1974Te03), 291.6 {I1} (1971KrZH)
231TH cG RI$unweighted average of 0.0477 {I33} (2018Ma03), 0.0733 {I44}
231TH2cG (2017Le03), 0.07 {I1} (1974Te03). Weighted average is 0.058 {I9}, but
231TH3cG reduced |h{+2}=11.6 is too high. Others: 0.167 (1977Ba72), 0.056
231TH3cG (1975Va11), |?0.037 (1971KrZH).
231TH cG $Measured %I|g=0.0273 {I19} (2018Ma03), 0.0422 {I25} (2017Le03)
231TH  G 345.92    3  0.060  8 [E1]                    0.0272 4
231TH2 G %IG=0.034 5$
231THS G  KC=0.0219 3$LC=0.00403 6$MC=0.000964 14
231THS G  NC=0.000255 4$OC=5.95E-5 9$PC=1.115E-5 16$QC=8.81E-7 13
231TH cG E$weighted average of 345.90 {I5} (1977Ba72), 345.93 {I3} (1975Va11),
231TH2cG 345.84 {I15} (1974Te03). Other: 345.91 (1971KrZH)
231TH cG RI$unweighted average of 0.066 {I5} (2018Ma03), 0.0431 {I32}
231TH2cG (2017Le03), 0.07 {I1} (1974Te03). Regular weighted average is
231TH3cG 0.051 {I8}, but reduced |h{+2}=9.5 is too high. Others: 0.13
231TH4cG (1975Va11), 0.126 for 345.4+345.9 (1977Ba72), 0.0030 (1971KrZH).
231TH cG $Measured %I|g=0.038 {I3} (2018Ma03), 0.0248 {I18} (2017Le03)
231TH  G 387.84    3  0.0484 42[E1]                    0.0213 3
231TH2 G %IG=0.0277 24$
231THS G  KC=0.01717 24$LC=0.00312 5$MC=0.000745 11
231THS G  NC=0.000197 3$OC=4.60E-5 7$PC=8.66E-6 13$QC=6.99E-7 10
231TH cG E$weighted average of 387.85 {I10} (1977Ba72), 387.84 {I3} (1975Va11),
231TH2cG 387.79 {I15} (1974Te03). Other: 387.85 (1971KrZH)
231TH cG RI$weighted average of 0.0455 {I35} (2018Ma03), 0.0488 {I45}
231TH2cG (2017Le03), 0.07 {I1} (1974Te03). Others: 0.278 (1977Ba72),
231TH3cG 0.015 (1975Va11)
231TH cG $Measured %I|g=0.026 {I2} (2018Ma03), 0.0281 {I26} (2017Le03)
231TH  L 452.189   18  9/2-
231TH  A 4152.5    28 0.297  18  11.5  7
231TH cA E$unweighted average of 4153.0 keV {i26} (2005Ga36) and 4152 keV {i5}
231TH2cA (2004Da24). Others: 4145 {I6} (1975Va11), 4140 {I3} (1966Ga03),
231TH3cA |?4149 (1964Sc27), 4153 (1962Pi06)
231TH cA IA$weighted average of 0.286% {i18} (2005Ga36) and
231TH2cA 0.31% {i2} (2004Da24). Others: 0.9 {I2} (1975Va11), 1.0 (1966Ga03),
231TH3cA |?0.2 (1964Sc27), |?0.3 (1962Pi06)
231TH  G 64.45     5           [M1+E2]                 52     39 0.16     5
231TH2 G %IG=0.0017 14$
231THS G  L/T=0.72 39$M/T=0.19 19
231THS G  N/T=0.052 54$O/T=0.012 12$P/T=0.0020 20$Q/T=3.2E-5 33
231THS G  LC=38 28$MC=10.3 79
231THS G  NC=2.8 21$OC=0.62 47$PC=0.104 74$QC=0.0017 12
231TH cG E,RI$from 1977Ba72
231TH cG TI$deduced from |g-ray transition intensity balance. Other:
231TH2cG I|g=0.031 (1977Ba72)
231TH  G 215.30    5  0.0516 35[M1+E2]                 1.31   81
231TH2 G %IG=0.0295 20$
231THS G  KC=0.92 78$LC=0.29 3$MC=0.0750 23
231THS G  NC=0.0201 6$OC=0.00463 25$PC=0.00084 10$QC=5.0E-5 40
231TH cG E$weighted average of 215.30 {I10} (1977Ba72), 215.28 {I5} (1975Va11),
231TH2cG 215.26 {I20} (1974Te03), 215.31 {I5} (1974HeYW)
231TH cG RI$weighted average of 0.0524 {I35} (2018Ma03), 0.050 {I6} (1975Va11),
231TH2cG 0.05 {I1} (1974Te03), 0.050 {I15} (1974HeYW, 0.74 in 1971KrZH seems
231TH3cG erroneous). Other: 0.044 (1977Ba72)
231TH cG $Measured %I|g=0.030 {I2} (2018Ma03)
231TH  G 246.83    3  0.089  5 [M1]                    1.445  20
231TH2 G %IG=0.0509 29$
231THS G  KC=1.157 17$LC=0.218 3$MC=0.0525 8
231THS G  NC=0.01400 20$OC=0.00331 5$PC=0.000643 9$QC=6.10E-5 9
231TH cG E$weighted average of 246.85 {I5} (1977Ba72), 246.84 {I2} (1975Va11),
231TH2cG 246.59 {I10} (1974Te03), 246.83 {I4} (1974HeYW).
231TH3cG Other: 246.87 (1983Ba77)
231TH cG RI$weighted average of 0.084 {I5} (2018Ma03), 0.093 {I5} (1983Ba77),
231TH2cG 0.08 {I3} (1974Te03), 0.11 {I3} (1974HeYW). Others: 0.15 (1975Va11),
231TH3cG 0.117 for 246.85+251.5 (1977Ba72)
231TH cG $Measured %I|g=0.048 {I3} (2018Ma03), 0.053 {I3} (1983Ba77)
231TH  G 266.47    5  0.0115 18[E2]                    0.245  4
231TH2 G %IG=0.0066 10$
231THS G  KC=0.0921 13$LC=0.1121 16$MC=0.0303 5
231THS G  NC=0.00810 12$OC=0.00183 3$PC=0.000312 5$QC=6.01E-6 9
231TH cG E$weighted average of 266.50 {I5} (1975Va11), 266.40 {I10} (1974Te03),
231TH2cG 266.44 {I8} (1971KrZH)
231TH cG RI$weighted average of 0.0117 {I18} (2018Ma03), 0.011 {I3} (1974Te03).
231TH2cG Others: 0.017 (1975Va11), 0.0093 (1971KrZH)
231TH cG $Measured %I|g=0.0067 {I10} (2018Ma03)
231TH  G 291.2
231TH cG E$from coincidence data in 1975Va11, intensity is not available
231THF G FL=162.13
231TH  G 356.03    5  0.0042 14[E1]                    0.0255 4             D
231TH2 G %IG=0.0024 8$
231THS G  KC=0.0206 3$LC=0.00377 6$MC=0.000903 13
231THS G  NC=0.000239 4$OC=5.57E-5 8$PC=1.046E-5 15$QC=8.31E-7 12
231TH cG E$from 1975Va11. Other: 356.0 {I2} (1971KrZH)
231TH cG RI$0.0042 {I14} (2018Ma03). Other: 0.0093 (1975Va11)
231TH cG $Measured %I|g=0.0024 {I8} (2018Ma03)
231TH  G 410.29    4  0.0040 11[E1]                    0.0189 3             D
231TH2 G %IG=0.0023 6$
231THS G  KC=0.01527 22$LC=0.00275 4$MC=0.000657 10
231THS G  NC=0.0001741 25$OC=4.07E-5 6$PC=7.66E-6 11$QC=6.25E-7 9
231TH cG E$from 1975Va11. Other: 410.2 {I2} (1971KrZH)
231TH cG RI$0.0040 {I11} (2018Ma03). Other: 0.0056 (1975Va11)
231TH cG $Measured %I|g=0.0023 {I6} (2018Ma03)
231TH  L 530.22     5 (11/2-)
231TH  A 4080.6    40 0.0174 3   41.8  8
231TH cA E$from 2005Ga36. E|a=4077 is stated by 2004Da24 as absent
231TH2cA in the spectrum. Other: 4069 {I10} (1966Ga03)
231TH3cA with no I|a
231TH cA IA$from |g-ray transition intensity balance. Other: 0.016 {I12}
231TH2cA from |a decay measurement (2005Ga36)
231TH  G 142.40    5  0.009    [E2]                    2.48   4
231TH2 G %IG=0.005 $
231TH cG E,RI$from 1977Ba72 only
231THF G FL=387.824
231THS G  KC=0.253 4$LC=1.627 23$MC=0.446 7
231THS G  NC=0.1196 17$OC=0.0267 4$PC=0.00447 7$QC=3.14E-5 5
231TH  L 562       5                                                           ?
231TH  A 4042      5  0.007  AP   55   AP                                      ?
231TH cA E,IA$from 2004Da24. Not reported in 2005Ga36.
231TH  L 634.05     4 (7/2-)
231TH  A 3976      5  0.007  AP   12   AP                                      ?
231TH cA E,IA$tentative |a from 2004Da24. Other: 3977 {I10} with no I|a
231TH2cA (1966Ga03)
231TH  G 428.71    4  0.0024 APM1+E0(+E2)              0.19   13            x  S
231TH2 G %IG AP 0.0014 $
231THS G  KC=0.15 11$LC=0.033 15$MC=0.0082 32
231THS G  NC=0.00220 85$OC=5.2E-4 21$PC=9.7E-5 43$QC=7.7E-6 57
231TH cG E,RI$from (n,|g) (1987Wh01). Intensity from I|g(429)/I|g(448)=1.2 {I7}
231TH2cG in 1987Wh01
231TH cG $|a(exp)=1.33(|a(K)exp=0.66 {I4} in (n,|g), 1987Wh01)
231TH  G 448.40    6  0.0019    [M1+E2]                 0.17  12
231TH2 G %IG=0.0011 $
231THS G  KC=0.129 97$LC=0.029 13$MC=0.0072 29
231THS G  NC=0.00193 77$OC=4.5E-4 19$PC=8.5E-5 39$QC=6.8E-6 50
231TH cG E$weighted average of 448.40 {I6} (1975Va11), 448.339 {I18} (1987Wh01,
231TH2cG (n,|g), curved crystal). Other: 447.5 {I2} (1971KrZH)
231TH cG RI$from 1975Va11
231TH cG $Placement based on (n,|g) (1987Wh01)

